Date,Leveraged Funds,Asset,Dealer
5/4/12,"-314,860.00","624,128.00","-556,377.00"
4/27/12,"-346,360.00","594,889.00","-496,832.00"
4/20/12,"-350,772.00","640,901.00","-521,864.00"
4/13/12,"-360,338.00","640,070.00","-485,477.00"
4/6/12,"-326,021.00","725,712.00","-562,133.00"
3/30/12,"-409,712.00","784,146.00","-553,251.00"
3/23/12,"-386,880.00","734,651.00","-502,916.00"
3/16/12,"-400,616.00","782,193.00","-504,348.00"
3/9/12,"-413,873.00","718,330.00","-362,196.00"
3/2/12,"-371,721.00","773,447.00","-391,835.00"
2/24/12,"-367,109.00","762,793.00","-388,447.00"
2/17/12,"-357,546.00","730,593.00","-370,641.00"
2/10/12,"-292,811.00","663,490.00","-342,519.00"
2/3/12,"-267,026.00","573,411.00","-316,066.00"
1/27/12,"-325,276.00","573,823.00","-340,293.00"
1/20/12,"-298,909.00","499,669.00","-262,421.00"
1/13/12,"-273,829.00","432,322.00","-229,001.00"
1/6/12,"-332,155.00","427,014.00","-213,287.00"
12/30/11,"-353,090.00","458,256.00","-184,216.00"
12/23/11,"-292,618.00","383,766.00","-159,362.00"
12/16/11,"-188,987.00","394,632.00","-111,866.00"
